"","sigmah","0.01","0.05","0.1","0.5","1"
"","Haberman","0.75806452","0.77419355","0.77419355","0.66129032","0.69354839"
"","sigmal","0.1","0.5","1","1.85","2"
"","Live disorders","0.55072464","0.68115942","0.69565217","0.76811594","0.73913043"
"","sigmai","1","2","3","4.71","5"
"","Ionosphere","0.81690141","0.92957746","0.94366197","0.95774648","0.94366197"
"","sigmaf","0.5","1","2","2.5","3"
"","Fertility","0.9","0.9","0.95","0.95","0.9"
"","sigmac","0.5","1","2","2.45","3"
"","CMC","0.62711864","0.64745763","0.73898305","0.75254237","0.72542373"
"","sigmaw","1","2","3","4.5","5"
"","WPBC","0.79824561","0.92982456","0.98245614","0.99122807","0.98245614"
"","sigmag","2","3","4.5","5","6"
"","German","0.765"," 0.755"," 0.785"," 0.785","0.775"
